Country,8/15/26 - 8/17/26 Clicks,8/22/26 - 8/23/26 Clicks,8/15/26 - 8/17/26 Impressions,8/22/26 - 8/23/26 Impressions,8/15/26 - 8/17/26 CTR,8/22/26 - 8/23/26 CTR,8/15/26 - 8/17/26 Position,8/22/26 - 8/23/26 Position
United States,342,23,24232,575,1.41%,4%,9.31,7.97
Pakistan,1,0,59,0,1.69%,0%,5,0
Germany,1,0,14,0,7.14%,0%,8.57,0
Jamaica,1,0,8,0,12.5%,0%,4,0
Guam,1,0,6,0,16.67%,0%,3.83,0
Bosnia & Herzegovina,1,0,5,0,20%,0%,6.2,0
South Korea,1,0,3,0,33.33%,0%,4.33,0
Mexico,0,0,125,4,0%,0%,19.06,74.25
India,0,0,97,8,0%,0%,50.93,63.5
Philippines,0,0,91,8,0%,0%,50.84,64.75
Vietnam,0,0,46,5,0%,0%,60.48,64.4
United Kingdom,0,0,43,5,0%,0%,22.12,60.8
Turkey,0,0,34,3,0%,0%,53.65,69.67
Indonesia,0,0,31,5,0%,0%,60.94,64.4
Thailand,0,0,24,3,0%,0%,59.5,65.67
Jordan,0,0,23,0,0%,0%,64.87,0
Malaysia,0,0,22,3,0%,0%,65.23,75.33
Bangladesh,0,0,20,5,0%,0%,42.9,64.8
South Africa,0,0,15,0,0%,0%,6.13,0
Canada,0,0,15,0,0%,0%,6.33,0
United Arab Emirates,0,0,14,0,0%,0%,4.07,0
Morocco,0,0,14,0,0%,0%,60.43,0
Russia,0,0,13,0,0%,0%,52.62,0
Algeria,0,0,12,0,0%,0%,65.33,0
Netherlands,0,0,11,0,0%,0%,7.18,0
Ukraine,0,0,11,0,0%,0%,46.91,0
Ireland,0,0,10,0,0%,0%,8.8,0
Honduras,0,0,9,0,0%,0%,7.67,0
Italy,0,0,7,0,0%,0%,11.86,0
Brazil,0,0,7,0,0%,0%,14,0
Spain,0,0,7,0,0%,0%,61.71,0
Mauritius,0,0,6,0,0%,0%,4.83,0
France,0,0,6,0,0%,0%,64.17,0
China,0,0,5,0,0%,0%,3.8,0
Saudi Arabia,0,0,5,0,0%,0%,66,0
Dominican Republic,0,0,4,0,0%,0%,5.5,0
Romania,0,0,3,0,0%,0%,4.33,0
Australia,0,0,3,1,0%,0%,5,14
Costa Rica,0,0,3,0,0%,0%,5.33,0
Hong Kong,0,0,3,0,0%,0%,5.33,0
Argentina,0,0,3,0,0%,0%,9.67,0
Slovakia,0,0,3,0,0%,0%,15.33,0
Portugal,0,0,3,0,0%,0%,40,0
Puerto Rico,0,0,2,0,0%,0%,2,0
Ecuador,0,0,2,0,0%,0%,3.5,0
Sweden,0,0,2,0,0%,0%,3.5,0
Iran,0,0,2,0,0%,0%,4,0
Peru,0,0,2,0,0%,0%,4,0
Georgia,0,0,2,0,0%,0%,7,0
Azerbaijan,0,0,2,0,0%,0%,9,0
New Zealand,0,0,2,0,0%,0%,10,0
Croatia,0,0,2,0,0%,0%,12,0
Poland,0,0,2,0,0%,0%,21.5,0
Greece,0,0,1,0,0%,0%,1,0
Nigeria,0,0,1,0,0%,0%,1,0
Sierra Leone,0,0,1,0,0%,0%,1,0
Colombia,0,0,1,0,0%,0%,3,0
Dominica,0,0,1,0,0%,0%,3,0
Kuwait,0,0,1,0,0%,0%,3,0
Czechia,0,0,1,0,0%,0%,4,0
Myanmar (Burma),0,0,1,0,0%,0%,4,0
Norway,0,0,1,0,0%,0%,4,0
El Salvador,0,0,1,0,0%,0%,4,0
Côte d’Ivoire,0,0,1,0,0%,0%,5,0
Iraq,0,0,1,0,0%,0%,5,0
Kyrgyzstan,0,0,1,0,0%,0%,5,0
Uzbekistan,0,0,1,0,0%,0%,5,0
Bulgaria,0,0,1,0,0%,0%,6,0
Palestine,0,0,1,0,0%,0%,6,0
Somalia,0,0,1,0,0%,0%,6,0
Armenia,0,0,1,0,0%,0%,7,0
Finland,0,0,1,0,0%,0%,7,0
Macedonia,0,0,1,0,0%,0%,9,0
Taiwan,0,0,1,0,0%,0%,11,0
Lithuania,0,0,1,0,0%,0%,20,0
Egypt,0,0,0,1,0%,0%,0,64
