Top pages,8/15/26 - 8/17/26 Clicks,8/22/26 - 8/23/26 Clicks,8/15/26 - 8/17/26 Impressions,8/22/26 - 8/23/26 Impressions,8/15/26 - 8/17/26 CTR,8/22/26 - 8/23/26 CTR,8/15/26 - 8/17/26 Position,8/22/26 - 8/23/26 Position
https://metroconet.com/city/lexington,19,1,1179,5,1.61%,20%,7.62,2.4
https://metroconet.com/,17,6,2192,95,0.78%,6.32%,7.35,47.24
https://metroconet.com/city/bloomington,17,0,631,2,2.69%,0%,7.73,5
https://metroconet.com/check-availability,17,1,606,12,2.81%,8.33%,10.45,14.92
https://metroconet.com/city/lafayette,14,0,746,2,1.88%,0%,9.29,6
https://metroconet.com/city/ames,14,1,234,12,5.98%,8.33%,7.4,2.75
https://metroconet.com/city/indianapolis,13,0,995,2,1.31%,0%,9.33,20.5
https://metroconet.com/city/davenport,9,0,695,25,1.29%,0%,10.57,18.36
https://metroconet.com/city/des-moines,9,0,495,0,1.82%,0%,7.35,0
https://metroconet.com/city/west-lafayette,9,1,240,8,3.75%,12.5%,8.79,7.38
https://metroconet.com/city/carmel,9,0,211,13,4.27%,0%,11.19,8.77
https://metroconet.com/support,7,0,3631,17,0.19%,0%,8.8,8
https://metroconet.com/city/waterloo,7,0,346,7,2.02%,0%,8.51,4.86
https://metroconet.com/city/hickory,7,6,117,18,5.98%,33.33%,9.46,1.56
https://metroconet.com/city/norfolk,5,0,328,6,1.52%,0%,10.47,2.5
https://metroconet.com/city/dayton,5,0,312,0,1.6%,0%,10.85,0
https://metroconet.com/plans-pricing,4,0,627,36,0.64%,0%,16.82,3.94
https://metroconet.com/city/palm-coast,4,0,360,1,1.11%,0%,13.74,3
https://metroconet.com/promotions,4,0,289,12,1.38%,0%,14.22,5.5
https://metroconet.com/metronet/lansing,4,0,179,3,2.23%,0%,16.17,2.67
https://metroconet.com/city/troy,4,0,171,4,2.34%,0%,19.99,7.5
